gene,chromosome,insertions,expected,p,q
ENSMUSG00000015962,1,0.0,0.040993662301107826,1.0,1.0
ENSMUSG00000016179,1,0.0,0.023850858066099098,1.0,1.0
ENSMUSG00000016181,1,0.0,0.05813646653611655,1.0,1.0
ENSMUSG00000016194,1,0.0,0.07304325282742849,1.0,1.0
ENSMUSG00000016200,1,0.0,0.38347707734399955,1.0,1.0
ENSMUSG00000016262,1,0.0,0.013416107662180743,1.0,1.0
ENSMUSG00000016481,1,0.0,0.0931674143206996,1.0,1.0
ENSMUSG00000016493,1,0.0,0.13565175525093862,1.0,1.0
ENSMUSG00000016494,1,0.0,0.043975019559370214,1.0,1.0
ENSMUSG00000016524,1,0.0,0.012670768347615146,1.0,1.0
ENSMUSG00000016526,1,0.0,0.021987509779685107,1.0,1.0
ENSMUSG00000016528,1,0.0,0.05478243962057137,1.0,1.0
ENSMUSG00000016529,1,0.0,0.007453393145655968,1.0,1.0
ENSMUSG00000016918,1,0.0,0.3279492984088626,1.0,1.0
ENSMUSG00000018189,1,0.0,0.10732886129744594,1.0,1.0
ENSMUSG00000018196,1,0.0,0.01863348286413992,1.0,1.0
ENSMUSG00000018199,1,0.0,0.058881805850682145,1.0,1.0
ENSMUSG00000018417,1,0.0,0.3465827812730025,1.0,1.0
ENSMUSG00000019230,1,0.0,0.045093028531218604,1.0,1.0
ENSMUSG00000019699,1,0.0,0.7498113504529904,1.0,1.0
ENSMUSG00000020423,1,0.0,0.001863348286413992,1.0,1.0
ENSMUSG00000022995,1,0.0,0.3536635047613757,1.0,1.0
ENSMUSG00000023150,1,0.0,0.061490493451661736,1.0,1.0
ENSMUSG00000025774,1,0.0,0.0935400839779824,1.0,1.0
ENSMUSG00000025776,1,0.0,0.10509284335374915,1.0,1.0
ENSMUSG00000025777,1,0.0,0.04173900161567342,1.0,1.0
ENSMUSG00000025779,1,0.0,0.043229680244804614,1.0,1.0
ENSMUSG00000025900,1,0.0,0.981611877282891,1.0,1.0
ENSMUSG00000025902,1,0.0,0.00931674143206996,1.0,1.0
ENSMUSG00000025903,1,0.0,0.11403691512853631,1.0,1.0
ENSMUSG00000025905,1,0.0,0.03242226018360346,1.0,1.0
ENSMUSG00000025907,1,0.0,0.2086950080783671,1.0,1.0
ENSMUSG00000025909,1,0.0,2.277756945312464,1.0,1.0
ENSMUSG00000025911,1,0.0,0.06223583276622733,1.0,1.0
ENSMUSG00000025912,1,0.0,0.12447166553245466,1.0,1.0
ENSMUSG00000025915,1,0.0,0.24819799175034374,1.0,1.0
ENSMUSG00000025916,1,0.0,0.10807420061201153,1.0,1.0
ENSMUSG00000025917,1,0.0,0.03726696572827984,1.0,1.0
ENSMUSG00000025920,1,0.0,0.689438865973177,1.0,1.0
ENSMUSG00000025921,1,0.0,0.05925447550796495,1.0,1.0
ENSMUSG00000025925,1,0.0,0.09801211986537597,1.0,1.0
ENSMUSG00000025927,1,0.0,0.0708072348837317,1.0,1.0
ENSMUSG00000025929,1,0.0,0.005590044859241976,1.0,1.0
ENSMUSG00000025930,1,0.0,0.0026086876009795887,1.0,1.0
ENSMUSG00000025931,1,0.0,0.08161465494493285,1.0,1.0
ENSMUSG00000025932,1,0.0,0.33838404881278095,1.0,1.0
ENSMUSG00000025933,1,0.0,0.02086950080783671,1.0,1.0
ENSMUSG00000025934,1,0.0,0.054409769963288564,1.0,1.0
ENSMUSG00000025935,1,0.0,0.04360234990208741,1.0,1.0
ENSMUSG00000025937,1,0.0,0.07602461008569088,1.0,1.0
ENSMUSG00000025938,1,0.0,0.26049609044067606,1.0,1.0
ENSMUSG00000025939,1,0.0,0.2124217046511951,1.0,1.0
ENSMUSG00000025940,1,0.0,0.02795022429620988,1.0,1.0
ENSMUSG00000025946,1,0.0,0.25080667935132334,1.0,1.0
ENSMUSG00000025949,1,0.0,0.26310477804165566,1.0,1.0
ENSMUSG00000025950,1,0.0,0.06186316310894453,1.0,1.0
ENSMUSG00000025952,1,0.0,0.00708072348837317,1.0,1.0
ENSMUSG00000025956,1,0.0,0.019378822178705516,1.0,1.0
ENSMUSG00000025958,1,0.0,0.19751491835988316,1.0,1.0
ENSMUSG00000025959,1,0.0,0.18111745343944002,1.0,1.0
ENSMUSG00000025962,1,0.0,0.05552777893513696,1.0,1.0
ENSMUSG00000025963,1,0.0,0.0708072348837317,1.0,1.0
ENSMUSG00000025964,1,0.0,0.3518001564749617,1.0,1.0
ENSMUSG00000025967,1,0.0,0.006708053831090371,1.0,1.0
ENSMUSG00000025968,1,0.0,0.0946580929498308,1.0,1.0
ENSMUSG00000025969,1,0.0,0.1677013457772593,1.0,1.0
ENSMUSG00000025971,1,0.0,0.02534153669523029,1.0,1.0
ENSMUSG00000025977,1,0.0,0.24521663449208134,1.0,1.0
ENSMUSG00000025978,1,0.0,0.12186297793147507,1.0,1.0
ENSMUSG00000025979,1,0.0,0.05813646653611655,1.0,1.0
ENSMUSG00000025980,1,0.0,0.023850858066099098,1.0,1.0
ENSMUSG00000025981,1,0.0,0.04993773407589498,1.0,1.0
ENSMUSG00000025982,1,0.0,0.1397511214810494,1.0,1.0
ENSMUSG00000025983,1,0.0,0.2571420635251309,1.0,1.0
ENSMUSG00000025986,1,0.0,0.24335328620566735,1.0,1.0
ENSMUSG00000025991,1,0.0,0.3212412445777722,1.0,1.0
ENSMUSG00000025993,1,0.0,0.045093028531218604,1.0,1.0
ENSMUSG00000025995,1,0.0,0.07751528871482206,1.0,1.0
ENSMUSG00000025997,1,0.0,0.4281974362179354,1.0,1.0
ENSMUSG00000026000,1,0.0,0.06931655625460051,1.0,1.0
ENSMUSG00000026003,1,0.0,0.08645936048960923,1.0,1.0
ENSMUSG00000026004,1,0.0,0.30298043137091507,1.0,1.0
ENSMUSG00000026005,1,0.0,0.04173900161567342,1.0,1.0
ENSMUSG00000026009,1,0.0,0.050310403733177786,1.0,1.0
ENSMUSG00000026011,1,0.0,0.01155275937576675,1.0,1.0
ENSMUSG00000026012,1,0.0,0.06037248447981334,1.0,1.0
ENSMUSG00000026014,1,0.0,0.27391219810285683,1.0,1.0
ENSMUSG00000026017,1,0.0,0.15167655051409895,1.0,1.0
ENSMUSG00000026018,1,0.0,0.12782569244799985,1.0,1.0
ENSMUSG00000026019,1,0.0,0.05627311824970256,1.0,1.0
ENSMUSG00000026020,1,0.0,0.08981338740515442,1.0,1.0
ENSMUSG00000026021,1,0.0,0.0935400839779824,1.0,1.0
ENSMUSG00000026023,1,0.0,0.19453356110162076,1.0,1.0
ENSMUSG00000026024,1,0.0,0.17850876583846043,1.0,1.0
ENSMUSG00000026027,1,0.0,0.061490493451661736,1.0,1.0
ENSMUSG00000026028,1,0.0,0.17105537269280446,1.0,1.0
ENSMUSG00000026029,1,0.0,0.12074496895962668,1.0,1.0
ENSMUSG00000026031,1,0.0,0.08273266391678125,1.0,1.0
ENSMUSG00000026032,1,0.0,0.029813572582623873,1.0,1.0
ENSMUSG00000026034,1,0.0,0.03354026915545186,1.0,1.0
ENSMUSG00000026035,1,0.0,0.034658278127300254,1.0,1.0
ENSMUSG00000026036,1,0.0,0.07639727974297367,1.0,1.0
ENSMUSG00000026037,1,0.0,0.10844687026929434,1.0,1.0
ENSMUSG00000026039,1,0.0,0.07714261905753927,1.0,1.0
ENSMUSG00000026042,1,0.0,0.43266947210532897,1.0,1.0
ENSMUSG00000026043,1,0.0,0.13267039799267624,1.0,1.0
ENSMUSG00000026047,1,0.0,0.026832215324361485,1.0,1.0
ENSMUSG00000026048,1,0.0,0.08534135151776083,1.0,1.0
ENSMUSG00000026049,1,0.0,0.045838367845784204,1.0,1.0
ENSMUSG00000026051,1,0.0,0.026459545667078685,1.0,1.0
ENSMUSG00000026058,1,0.0,1.327449319241328,1.0,1.0
ENSMUSG00000026062,1,0.0,0.17962677481030884,1.0,1.0
ENSMUSG00000026064,1,0.0,0.022732849094250704,1.0,1.0
ENSMUSG00000026065,1,0.0,0.10211148609548676,1.0,1.0
ENSMUSG00000026068,1,0.0,0.06260850242351013,1.0,1.0
ENSMUSG00000026069,1,0.0,0.058881805850682145,1.0,1.0
ENSMUSG00000026070,1,0.0,0.0708072348837317,1.0,1.0
ENSMUSG00000026072,1,0.0,0.17925410515302603,1.0,1.0
ENSMUSG00000026073,1,0.0,0.07863329768667046,1.0,1.0
ENSMUSG00000026074,1,0.0,0.24037192894740497,1.0,1.0
ENSMUSG00000026077,1,0.0,0.27167618015916,1.0,1.0
ENSMUSG00000026078,1,0.0,0.021614840122402307,1.0,1.0
ENSMUSG00000026080,1,0.0,0.055155109277854164,1.0,1.0
ENSMUSG00000026082,1,0.0,0.23888125031827379,1.0,1.0
ENSMUSG00000026083,1,0.0,0.13416107662180743,1.0,1.0
ENSMUSG00000026085,1,0.0,0.021614840122402307,1.0,1.0
ENSMUSG00000026087,1,0.0,0.017142804235008725,1.0,1.0
ENSMUSG00000026088,1,0.0,0.022732849094250704,1.0,1.0
ENSMUSG00000026090,1,0.0,0.16956469406367328,1.0,1.0
ENSMUSG00000026094,1,0.0,0.09652144123624479,1.0,1.0
ENSMUSG00000026095,1,0.0,0.02534153669523029,1.0,1.0
ENSMUSG00000026096,1,0.0,0.03242226018360346,1.0,1.0
ENSMUSG00000026097,1,0.0,0.03018624223990667,1.0,1.0
ENSMUSG00000026098,1,0.0,0.27279418913100845,1.0,1.0
ENSMUSG00000026100,1,0.0,0.01565212560587753,1.0,1.0
ENSMUSG00000026102,1,0.0,0.05850913619339935,1.0,1.0
ENSMUSG00000026103,1,0.0,0.2724215194737256,1.0,1.0
ENSMUSG00000026104,1,0.0,0.07937863700123605,1.0,1.0
ENSMUSG00000026107,1,0.0,0.024596197380664694,1.0,1.0
ENSMUSG00000026109,1,0.0,0.7900596734395327,1.0,1.0
ENSMUSG00000026110,1,0.0,0.19565157007346917,1.0,1.0
ENSMUSG00000026111,1,0.0,0.012298098690332347,1.0,1.0
ENSMUSG00000026112,1,0.0,0.017142804235008725,1.0,1.0
